0,1,2,3,4,5
0.0045,0.0156,0.1106,0.5838,0.2855,9.0
0.1123,0.3436,0.2987,0.1642,0.0813,7.0
0.1554,0.3384,0.2461,0.1776,0.0825,10.0
0.0372,0.2012,0.2941,0.3758,0.0918,8.0
0.0009,0.0008,0.0013,0.0209,0.9761,10.0
0.0219,0.1687,0.4107,0.3492,0.0494,9.0
0.0109,0.007,0.0073,0.0329,0.9419,10.0
0.0007,0.001,0.0036,0.0497,0.9449,9.0
0.0046,0.019,0.1489,0.6519,0.1756,6.0
0.0016,0.0178,0.3279,0.6026,0.0501,7.0
0.0006,0.0022,0.036,0.6481,0.3131,0.0
0.0115,0.0129,0.0527,0.209,0.7139,10.0
0.2931,0.468,0.1396,0.0709,0.0284,1.0
0.001,0.0012,0.0038,0.0772,0.9169,9.0
0.0021,0.0039,0.0499,0.4451,0.499,10.0
0.0014,0.0034,0.0537,0.4749,0.4665,9.0
0.064,0.3397,0.5219,0.0676,0.0068,6.0
0.0495,0.4313,0.4584,0.0561,0.0047,5.0
0.0452,0.1683,0.1617,0.3246,0.3002,10.0
0.0117,0.0196,0.0394,0.1836,0.7457,9.0
0.2115,0.622,0.1527,0.0119,0.002,3.0
